State,District,Clinic Name,Address,Latitude,Longitude,Google Maps Link
PERLIS,Kangar,KK Beseri,"KK Beseri, Kangar, PERLIS, Malaysia",6.534879,100.230577,"https://www.google.com/maps/search/?api=1&query=KK+Beseri,+Kangar,+PERLIS,+Malaysia"
PERLIS,Kangar,KK Kg Gial,"KK Kg Gial, Kangar, PERLIS, Malaysia",6.466974,100.271678,"https://www.google.com/maps/search/?api=1&query=KK+Kg+Gial,+Kangar,+PERLIS,+Malaysia"
PERLIS,Kangar,KK  Arau,"KK  Arau, Kangar, PERLIS, Malaysia",6.429708,100.269844,"https://www.google.com/maps/search/?api=1&query=KK+Arau,+Kangar,+PERLIS,+Malaysia"
PERLIS,Kangar,KK Kangar,"KK Kangar, Kangar, PERLIS, Malaysia",6.438827,100.194819,"https://www.google.com/maps/search/?api=1&query=KK+Kangar,+Kangar,+PERLIS,+Malaysia"
PERLIS,Kangar,KK Kuala Perlis,"KK Kuala Perlis, Kangar, PERLIS, Malaysia",6.397886,100.130678,"https://www.google.com/maps/search/?api=1&query=KK+Kuala+Perlis,+Kangar,+PERLIS,+Malaysia"
PERLIS,Kangar,KK Padang Besar,"KK Padang Besar, Kangar, PERLIS, Malaysia",6.652752,100.27123,"https://www.google.com/maps/search/?api=1&query=KK+Padang+Besar,+Kangar,+PERLIS,+Malaysia"
KEDAH,Kota Setar,Klinik Kesihatan Jalan Putra,"Klinik Kesihatan Jalan Putra, Kota Setar, KEDAH, Malaysia",6.1254,100.3677,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Jalan+Putra,+Kota+Setar,+KEDAH,+Malaysia"
KEDAH,Kota Setar,Klinik Kesihatan Pokok Sena,"Klinik Kesihatan Pokok Sena, Kota Setar, KEDAH, Malaysia",6.1864,100.5099,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Pokok+Sena,+Kota+Setar,+KEDAH,+Malaysia"
KEDAH,Kuala Muda,Klinik Kesihatan Merbok,"Klinik Kesihatan Merbok, Kuala Muda, KEDAH, Malaysia",5.7321,100.4793,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Merbok,+Kuala+Muda,+KEDAH,+Malaysia"
KEDAH,Kuala Muda,Klinik Kesihatan Bedong,"Klinik Kesihatan Bedong, Kuala Muda, KEDAH, Malaysia",5.7784,100.5086,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Bedong,+Kuala+Muda,+KEDAH,+Malaysia"
KEDAH,Kubang Pasu,Klinik Kesihatan Kepala Batas Sementara,"Klinik Kesihatan Kepala Batas Sementara, Kubang Pasu, KEDAH, Malaysia",6.2501,100.4387,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Kepala+Batas+Sementara,+Kubang+Pasu,+KEDAH,+Malaysia"
KEDAH,Kubang Pasu,Klinik Kesihatan Changlun,"Klinik Kesihatan Changlun, Kubang Pasu, KEDAH, Malaysia",6.4433,100.4201,"https://www.google.com/maps/search/?api=1&query=Klinik+Kesihatan+Changlun,+Kubang+Pasu,+KEDAH,+Malaysia"
PULAU PINANG,PKD Timur Laut,KK Sungai Dua,"KK Sungai Dua, PKD Timur Laut, PULAU PINANG, Malaysia",5.358,100.304,"https://www.google.com/maps/search/?api=1&query=KK+Sungai+Dua,+PKD+Timur+Laut,+PULAU+PINANG,+Malaysia"
